school,CITY,STATE,ZIP,COUNTY
SPOKANE COMMUNITY COLLEGE - NEWPORT CENTER,NEWPORT,WA,99156,PEND OREILLE
SPOKANE COMMUNITY COLLEGE - REPUBLIC EDUCATION CENTER,REPUBLIC,WA,99166,FERRY
SPOKANE COMMUNITY COLLEGE - THE LODGE,SPOKANE,WA,99224,SPOKANE
SPOKANE COMMUNITY COLLEGE - VALLEY CENTER,SPOKANE VALLEY,WA,99206,SPOKANE
SPOKANE FALLS COMMUNITY COLLEGE,SPOKANE,WA,99224,SPOKANE
SPOON RIVER COLLEGE,CANTON,IL,61520,FULTON
SPOON RIVER COLLEGE - MACOMB CAMPUS,MACOMB,IL,61455,MCDONOUGH
SPRING ARBOR UNIVERSITY,SPRING ARBOR,MI,49283,JACKSON
SPRING HILL COLLEGE,MOBILE,AL,36608,MOBILE
SPRINGFIELD COLLEGE,SPRINGFIELD,MA,1109,HAMPDEN
SPRINGFIELD COLLEGE-SCHOOL OF PROFESSIONAL AND CONTINUING STUDIES,SPRINGFIELD,MA,1109,HAMPDEN
SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,SPRINGFIELD,MA,1105,HAMPDEN
ST AUGUSTINE FOR HEALTH SCIENCES - AUSTIN CAMPUS,AUSTIN,TX,78739,TRAVIS
ST AUGUSTINE FOR HEALTH SCIENCES - MIAMI CAMPUS,MIAMI,FL,33172,MIAMI-DADE
ST AUGUSTINE FOR HEALTH SCIENCES - SAN MARCOS CAMPUS,SAN MARCOS,CA,92069,SAN DIEGO
ST AUGUSTINE FOR HEALTH SCIENCES - ST. AUGUSTINE CAMPUS,ST AUGUSTINE,FL,32086,ST. JOHNS
ST BONAVENTURE UNIVERSITY,SAINT BONAVENTURE,NY,14778,CATTARAUGUS
ST CATHERINE UNIVERSITY,SAINT PAUL,MN,55105,RAMSEY
ST CATHERINE UNIVERSITY - MINNEAPOLIS CAMPUS,MINNEAPOLIS,MN,55454,HENNEPIN
ST CHARLES COMMUNITY COLLEGE,COTTLEVILLE,MO,63376,ST. CHARLES
ST CLAIR COUNTY COMMUNITY COLLEGE,PORT HURON,MI,48061,ST. CLAIR
ST CLOUD TECHNICAL AND COMMUNITY COLLEGE,SAINT CLOUD,MN,56303,STEARNS
ST FRANCIS,JOLIET,IL,60435,WILL
ST FRANCIS COLLEGE,BROOKLYN HEIGHTS,NY,11201,KINGS
ST JOHN'S UNIVERSITY-NEW YORK,QUEENS,NY,11439,QUEENS
ST LAWRENCE UNIVERSITY,CANTON,NY,13617,ST. LAWRENCE
ST LOUIS COLLEGE OF HEALTH CAREERS-FENTON,FENTON,MO,63026,ST. LOUIS
ST MARY'S COLLEGE OF MARYLAND,ST. MARY'S CITY,MD,20686,ST. MARY'S
ST OLAF COLLEGE,NORTHFIELD,MN,55057,RICE
ST PAUL'S SCHOOL OF NURSING-QUEENS,REGO PARK,NY,11374,QUEENS
ST PAUL'S SCHOOL OF NURSING-STATEN ISLAND,STATEN ISLAND,NY,10311,RICHMOND
ST PETERSBURG COLLEGE,CLEARWATER,FL,33760,PINELLAS
ST PETERSBURG COLLEGE - HEALTH EDUCATION CENTER,PINELLAS,FL,33781,PINELLAS
ST PETERSBURG COLLEGE - SEMINOLE CAMPUS,SEMINOLE,FL,33772,PINELLAS
ST PETERSBURG COLLEGE - ST. PETERSBURG/GIBBS CAMPUS,ST PETERSBURG,FL,33710,PINELLAS
ST PETERSBURG COLLEGE - TARPON SPRINGS CAMPUS,TARPON SPRINGS,FL,34683,PINELLAS
ST PHILIP'S COLLEGE,SAN ANTONIO,TX,78203,BEXAR
ST PHILIP'S COLLEGE - SOUTHWEST CAMPUS,SAN ANTONIO,TX,78211,BEXAR
ST THOMAS,SAINT PAUL,MN,55105,RAMSEY
ST THOMAS,HOUSTON,TX,77006,HARRIS
ST THOMAS - MINNEAPOLIS,MINNEAPOLIS,MN,55403,HENNEPIN
ST THOMAS UNIVERSITY,MIAMI GARDENS,FL,33054,MIAMI-DADE
ST VINCENT'S COLLEGE,BRIDGEPORT,CT,6606,FAIRFIELD
ST. ANDREWS UNIVERSITY,LAURINBURG,NC,28352,SCOTLAND
ST. AUGUSTINE FOR HEALTH SCIENCES,SAN MARCOS,CA,92069,SAN DIEGO
,ANNAPOLIS,MD,21401,ANNE ARUNDEL
,SANTA FE,NM,87505,SANTA FE
St. John's,NEW YORK,NY,10003,NEW YORK
ST. JOHN'S UNIVERSITY-NEW YORK - STATEN ISLAND CAMPUS,STATEN ISLAND,NY,10301,RICHMOND
ST. JOSEPH'S COLLEGE-NEW YORK,BROOKLYN,NY,11205,KINGS
ST. LOUIS COLLEGE OF PHARMACY,SAINT LOUIS,MO,63110,ST. LOUIS
ST. MARY'S UNIVERSITY,SAN ANTONIO,TX,78228,BEXAR
ST. THOMAS AQUINAS COLLEGE,SPARKILL,NY,10976,ROCKLAND
STANBRIDGE UNIVERSITY,IRVINE,CA,92612,ORANGE
Stanford,STANFORD,CA,94305,SANTA CLARA
STANLY COMMUNITY COLLEGE,ALBEMARLE,NC,28001,STANLY
STARK STATE COLLEGE,NORTH CANTON,OH,44720,STARK
STARK STATE COLLEGE - ALLIANCE SATELITE CENTER,ALLIANCE,OH,44601,STARK
STARK STATE COLLEGE - BARBERTON SATELITE CENTER,BARBERTON,OH,44203,SUMMIT
STARK STATE COLLEGE - CANTON AUTOMOTIVE TECH CENTER,CANTON,OH,44702,STARK
STARK STATE COLLEGE - CARROLLTON SATELITE CENTER,CARROLLTON,OH,44615,CARROLL
STARK STATE COLLEGE - DOWNTOWN CANTON SATELITE CENTER,CANTON,OH,44702,STARK
STARK STATE COLLEGE - EARLY COLLEGE HIGH SCHOOL SATELITE CENTER,CANTON,OH,44702,STARK
STARK STATE COLLEGE - MASSILLON CENTER,MASSILLON,OH,44646,STARK
STARK STATE COLLEGE - MERCY MEDICAL CENTER,CANTON,OH,44708,STARK
STARK STATE COLLEGE - NORTH CANTON AUTOMOTIVE TECH CENTE,NORTH CANTON,OH,44720,STARK
STARK STATE COLLEGE - RAVENNA SATELITE CENTER,RAVENNA,OH,44266,PORTAGE
STARK STATE COLLEGE - WAYNE COUNTY SCHOOLS CAREER CENTER,SMITHVILLE,OH,44677,WAYNE
STATE CAREER COLLEGE,WAUKEGAN,IL,60085,LAKE
STATE COLLEGE OF FLORIDA-MANATEE-SARASOTA,BRADENTON,FL,34207,MANATEE
STATE COLLEGE OF FLORIDA-MANATEE-SARASOTA - LAKEWOOD RANCH,SARASOTA,FL,34240,SARASOTA
STATE COLLEGE OF FLORIDA-MANATEE-SARASOTA - VENICE,VENICE,FL,34293,SARASOTA
STATE FAIR COMMUNITY COLLEGE,SEDALIA,MO,65301,PETTIS
STATE FAIR COMMUNITY COLLEGE - BOONVILLE,BOONVILLE,MO,65223,COOPER
STATE FAIR COMMUNITY COLLEGE - CLINTON,CLINTON,MO,64735,HENRY
STATE FAIR COMMUNITY COLLEGE - ELDON,ELDON,MO,65026,MILLER
STATE FAIR COMMUNITY COLLEGE - LAKE OF OZARKS,OSAGE BEACH,MO,65065,CAMDEN
STATE FAIR COMMUNITY COLLEGE - WHITEMAN AFB,WHITEMAN AFB,MO,65305,JOHNSON
STATE NEW YORK AT NEW PALTZ,NEW PALTZ,NY,12561,ULSTER
STATE TECHNICAL COLLEGE OF MISSOURI,LINN,MO,65051,OSAGE
STAUTZENBERGER COLLEGE-MAUMEE,MAUMEE,OH,43537,LUCAS
STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE,NEW YORK,NY,10018,NEW YORK
STEPHEN F AUSTIN STATE UNIVERSITY,NACOGDOCHES,TX,75961,NACOGDOCHES
STEPHENS COLLEGE,COLUMBIA,MO,65215,BOONE
STERLING COLLEGE,STERLING,KS,67579,RICE
STETSON UNIVERSITY,DELAND,FL,32723,VOLUSIA
STETSON UNIVERSITY - GULFPORT CAMPUS,GULFPORT,FL,33707,PINELLAS
STEVEN HENAGER COLLEGE - IDAHO FALLS CAMPUS,IDAHO FALLS,AR,83402,BONNEVILLE
STEVENS HENAGER COLLEGE - ST GEORGE UTAH CAMPUS,GEORGE,UT,84790,WASHINGTON
STEVENS INSTITUTE OF TECHNOLOGY,HOBOKEN,NJ,7030,HUDSON
STEVENS-HENAGER COLLEGE,MURRAY,UT,84123,SALT LAKE
STEVENS-HENAGER COLLEGE,OREM,UT,84058,UTAH
STEVENS-HENAGER COLLEGE,WEST HAVEN,UT,84401,SALT LAKE
STEVENS-HENAGER COLLEGE,BOISE,ID,83709,ADA
STEVENS-HENAGER COLLEGE,IDAHO FALLS,ID,83402,BONNEVILLE
STEVENSON UNIVERSITY,STEVENSON,MD,21153,BALTIMORE
STILLMAN COLLEGE,TUSCALOOSA,AL,35401,TUSCALOOSA
STOCKTON UNIVERSITY,GALLOWAY,NJ,8205,ATLANTIC
STONE ACADEMY-EAST HARTFORD,EAST HARTFORD,CT,6108,HARTFORD
STONE ACADEMY-WEST HAVEN,WEST HAVEN,CT,6516,NEW HAVEN
STONE CHILD COLLEGE,BOX ELDER,MT,59521,CHOUTEAU
STONEHILL COLLEGE,EASTON,MA,2357,BRISTOL
STONY BROOK UNIVERSITY,STONY BROOK,NY,11794,SUFFOLK
STONY BROOK UNIVERSITY - STONY BROOK MANHATTAN CAMPUS,NEW YORK,NY,10018,NEW YORK
STONY BROOK UNIVERSITY - STONY BROOK SOUTHAMPTON CAMPUS,SOUTHAMPTON,NY,11968,SUFFOLK
STRATFORD UNIVERSITY,FAIRFAX,VA,22030,FAIRFAX
STRATFORD UNIVERSITY - ALEXANDRIA CAMPUS,ALEXANDRIA,VA,22314,ALEXANDRIA
STRATFORD UNIVERSITY - GLEN ALLEN CAMPUS,GLEN ALLEN,VA,23060,HENRICO
STRATFORD UNIVERSITY - NEWPORT NEWS CAMPUS,NEWPORT NEWS,VA,23601,NEWPORT NEWS
STRATFORD UNIVERSITY - VIRGINIA BEACH CAMPUS,VIRGINIA BEACH,VA,23452,VIRGINIA BEACH
STRATFORD UNIVERSITY - WOODBRIDGE CAMPUS,WOODBRIDGE,VA,22192,PRINCE WILLIAM
STRAYER UNIVERSITY -  MIAMI FLORIDA BRICKELL CAMPUS,MIAMA,FL,33172,MIAMI-DADE
STRAYER UNIVERSITY - CEDAR HILL CAMPUS,CEDAR HILL,TX,75104,DALLAS
STRAYER UNIVERSITY - CHARLESTON CAMPUS,NORTH CHARLESTON,SC,29418,CHARLESTON
STRAYER UNIVERSITY - COLUMBIA CAMPUS,COLUMBIA,SC,29210,RICHLAND
STRAYER UNIVERSITY - FORT LAUDERDALE CAMPUS,FORT LAUDERDALE,FL,33312,BROWARD
STRAYER UNIVERSITY - HUNTSVILLE CAMPUS,HUNTSVILLE,AL,35805,MADISON
STRAYER UNIVERSITY - IRVING CAMPUS,IRVING,TX,75063,DALLAS
STRAYER UNIVERSITY - JACKSONVILLE FLORIDA CAMPUS,JACKSONVILLE,FL,32256,DUVAL
STRAYER UNIVERSITY - KATY CAMPUS,HOUSTON,TX,77079,HARRIS
STRAYER UNIVERSITY - MAITLAND CAMPUS,MAITLAND,FL,32751,ORANGE
STRAYER UNIVERSITY - MIRAMAR CAMPUS,HOLLYWOOD,FL,33027,BROWARD
STRAYER UNIVERSITY - NORTH DALLAS CAMPUS,DALLAS,TX,75251,DALLAS
STRAYER UNIVERSITY - NORTHWEST HOUSTON CAMPUS,HOUSTON,TX,77064,HARRIS
STRAYER UNIVERSITY - ORLANDO EAST,ORLANDO,FL,32826,ORANGE
STRAYER UNIVERSITY - PALM BEACH GARDENS,WEST PALM BEACH,FL,33410,PALM BEACH
STRAYER UNIVERSITY - PLANO CAMPUS,PLANO,TX,75093,COLLIN
STRAYER UNIVERSITY - SAN ANTONIO CAMPUS,SAN ANTONIO,TX,78216,BEXAR
STRAYER UNIVERSITY - SAND LAKE,ORLANDO,FL,32819,ORANGE
STRAYER UNIVERSITY - STAFFORD CAMPUS,STAFFORD,TX,77477,FORT BEND
STRAYER UNIVERSITY - TAMPA EAST,TAMPA,FL,33610,HILLSBOROUGH
STRAYER UNIVERSITY-ALABAMA,BIRMINGHAM,AL,35243,JEFFERSON
STRAYER UNIVERSITY-DISTRICT OF COLUMBIA,WASHINGTON,DC,20005,DISTRICT OF COLUMBIA
STRAYER UNIVERSITY-FLORIDA,TAMPA,FL,33634,HILLSBOROUGH
STRAYER UNIVERSITY-GEORGIA,ATLANTA,GA,30341,DEKALB
STRAYER UNIVERSITY-GLOBAL REGION,WASHINGTON,DC,20005,DISTRICT OF COLUMBIA
STRAYER UNIVERSITY-MARYLAND,SUITLAND,MD,20746,PRINCE GEORGE'S
STRAYER UNIVERSITY-MISSISSIPPI,JACKSON,MS,39206,HINDS
STRAYER UNIVERSITY-NEW JERSEY,CHERRY HILL,NJ,8002,CAMDEN
STRAYER UNIVERSITY-NORTH CAROLINA,MORRISVILLE,NC,27560,WAKE
STRAYER UNIVERSITY-PENNSYLVANIA,TREVOSE,PA,19053,BUCKS
STRAYER UNIVERSITY-SOUTH CAROLINA,GREENVILLE,SC,29607,GREENVILLE
STRAYER UNIVERSITY-TENNESSEE,MEMPHIS,TN,38118,SHELBY
STRAYER UNIVERSITY-TEXAS,AUSTIN,TX,78759,TRAVIS
STRAYER UNIVERSITY-VIRGINIA,ARLINGTON,VA,22201,ARLINGTON
STUDIO BEAUTY SCHOOL,SPOKANE VALLEY,WA,99206,SPOKANE
SUFFOLK COUNTY COMMUNITY COLLEGE,SELDEN,NY,11784,SUFFOLK
SUFFOLK COUNTY COMMUNITY COLLEGE - EASTERN CAMPUS,NORTHAMPTON,NY,11949,SUFFOLK
SUFFOLK COUNTY COMMUNITY COLLEGE - MICHAEL J. GRANT CAMPUS,BRENTWOOD,NY,11717,SUFFOLK
SUFFOLK UNIVERSITY,BOSTON,MA,2108,SUFFOLK
SUL ROSS STATE UNIVERSITY,ALPINE,TX,79832,BREWSTER
SUL ROSS STATE UNIVERSITY - RIO GRANDE COLLEGE-DEL RIO CAMPUS,DEL RIO,TX,78840,VAL VERDE
SUL ROSS STATE UNIVERSITY - RIO GRANDE COLLEGE-EAGLE PASS CAMPUS,EAGLE PASS,TX,78852,MAVERICK
SUL ROSS STATE UNIVERSITY - RIO GRANDE COLLEGE-UVALDE CAMPUS,UVALDE,TX,78801,UVALDE
SULLIVAN AND COGLIANO TRAINING CENTER,MIAMI GARDENS,FL,33014,MIAMI-DADE
SULLIVAN COUNTY COMMUNITY COLLEGE,LOCH SHELDRAKE,NY,12759,SULLIVAN
SULLIVAN UNIVERSITY,LOUISVILLE,KY,40205,JEFFERSON
SULLIVAN UNIVERSITY - FORT KNOX CAMPUS,FORT KNOX,KY,40121,HARDIN
SULLIVAN UNIVERSITY - LEXINGTON CAMPUS,LEXINGTON,KY,40504,FAYETTE
SUM BIBLE COLLEGE AND THEOLOGICAL SEMINARY,EL DORADO HILLS,CA,95762,EL DORADO
SUMMIT COLLEGE,COLTON,CA,92324,SAN BERNARDINO
SUMMIT SALON ACADEMY-LEXINGTON,LEXINGTON,KY,40505,FAYETTE
SUMNER COLLEGE,PORTLAND,OR,97224,MULTNOMAH
SUNCOAST TECHNICAL COLLEGE,SARASOTA,FL,34233,SARASOTA
SUNY AT ALBANY,ALBANY,NY,12222,ALBANY
SUNY AT ALBANY - DOWNTOWN CAMPUS,ALBANY,NY,12203,ALBANY
SUNY AT FREDONIA,FREDONIA,NY,14063,CHAUTAUQUA
SUNY AT PURCHASE COLLEGE,PURCHASE,NY,10577,WESTCHESTER
SUNY BROOME COMMUNITY COLLEGE,BINGHAMTON,NY,13905,BROOME
SUNY BUFFALO STATE,BUFFALO,NY,14222,ERIE
SUNY COLLEGE AT BROCKPORT,BROCKPORT,NY,14420,MONROE
SUNY COLLEGE AT GENESEO,GENESEO,NY,14454,LIVINGSTON
SUNY COLLEGE AT OLD WESTBURY,OLD WESTBURY,NY,11568,NASSAU
SUNY COLLEGE AT OSWEGO,OSWEGO,NY,13126,OSWEGO
SUNY COLLEGE AT PLATTSBURGH,PLATTSBURGH,NY,12901,CLINTON
SUNY COLLEGE AT POTSDAM,POTSDAM,NY,13676,ST. LAWRENCE
SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL,COBLESKILL,NY,12043,SCHOHARIE
SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,SYRACUSE,NY,13210,ONONDAGA
SUNY COLLEGE OF OPTOMETRY,NEW YORK,NY,10036,NEW YORK
SUNY COLLEGE OF TECHNOLOGY AT ALFRED,ALFRED,NY,14802,ALLEGANY
SUNY COLLEGE OF TECHNOLOGY AT CANTON,CANTON,NY,13617,ST. LAWRENCE
SUNY COLLEGE OF TECHNOLOGY AT DELHI,DELHI,NY,13753,DELAWARE
SUNY CORTLAND,CORTLAND,NY,13045,CORTLAND
SUNY DOWNSTATE MEDICAL CENTER,BROOKLYN,NY,11203,KINGS
SUNY EMPIRE STATE COLLEGE,SARATOGA SPRINGS,NY,12866,SARATOGA
SUNY MARITIME COLLEGE,THROGGS NECK,NY,10465,BRONX
SUNY ONEONTA,ONEONTA,NY,13820,OTSEGO
SUNY POLYTECHNIC INSTITUTE,UTICA,NY,13502,ONEIDA
SUNY WESTCHESTER COMMUNITY COLLEGE,VALHALLA,NY,10595,WESTCHESTER
SUNY-SYSTEM OFFICE,ALBANY,NY,12246,ALBANY
SURRY COMMUNITY COLLEGE,DOBSON,NC,27017,SURRY
SUSQUEHANNA COUNTY CAREER AND TECHNOLOGY CENTER,SPRINGVILLE,PA,18844,SUSQUEHANNA
SUSQUEHANNA UNIVERSITY,SELINSGROVE,PA,17870,SNYDER
SUSSEX COUNTY COMMUNITY COLLEGE,NEWTON,NJ,7860,SUSSEX
SWARTHMORE COLLEGE,SWARTHMORE,PA,19081,DELAWARE
SWEDISH INSTITUTE A COLLEGE OF HEALTH SCIENCES,NEW YORK,NY,10001,NEW YORK
SWEET BRIAR COLLEGE,SWEET BRIAR,VA,24595,AMHERST
SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,LYNCHBURG,VA,24502,LYNCHBURG
Syracuse,SYRACUSE,NY,13244,ONONDAGA
TABOR COLLEGE,HILLSBORO,KS,67063,MARION
TACOMA COMMUNITY COLLEGE,TACOMA,WA,98466,PIERCE
TACOMA COMMUNITY COLLEGE - GIG HARBOR CAMPUS,GIG HARBOR,WA,98335,PIERCE
TAFT COLLEGE,TAFT,CA,93268,KERN
TAFT UNIVERSITY SYSTEM,DENVER,CO,80246,ARAPAHOE
TALLADEGA COLLEGE,TALLADEGA,AL,35160,TALLADEGA
TALLAHASSEE COMMUNITY COLLEGE,TALLAHASSEE,FL,32304,LEON
TALLAHASSEE COMMUNITY COLLEGE - FLORIDA PUBLIC SAFETY INSTITUTE,HAVANA,FL,32333,GADSDEN
TALMUDIC COLLEGE OF FLORIDA,MIAMI BEACH,FL,33140,MIAMI-DADE
TALMUDICAL ACADEMY-NEW JERSEY,ADELPHIA,NJ,7710,MONMOUTH
TARLETON STATE UNIVERSITY,STEPHENVILLE,TX,76401,ERATH
TARLETON STATE UNIVERSITY - SW METROPLEX FORTH WORTH,FORT WORTH,TX,76116,TARRANT
TARLETON STATE UNIVERSITY - THE UNIVERSITY CENTER AT MCC (WACO),WACO,TX,76708,MCLENNAN
TARRANT COUNTY COLLEGE DISTRICT,FORT WORTH,TX,76102,TARRANT
TARRANT COUNTY COLLEGE DISTRICT - NORTHEAST CAMPUS,HURST,TX,76054,TARRANT
TARRANT COUNTY COLLEGE DISTRICT - NORTHWEST CAMPUS,FORT WORTH,TX,76179,TARRANT
TARRANT COUNTY COLLEGE DISTRICT - SOUTH CAMPUS,FORT WORTH,TX,76119,TARRANT
TARRANT COUNTY COLLEGE DISTRICT - SOUTHEAST CAMPUS,ARLINGTON,TX,76018,TARRANT
TARRANT COUNTY COLLEGE DISTRICT - TRINITY RIVER CAMPUS,FORT WORTH,TX,76102,TARRANT
TAYLOR UNIVERSITY,UPLAND,IN,46989,GRANT
TEACHERS COLLEGE AT COLUMBIA UNIVERSITY,NEW YORK,NY,10027,NEW YORK
TECHNICAL CAREER INSTITUTES,NEW YORK,NY,10001,NEW YORK
TECHNICAL COLLEGE OF THE LOWCOUNTRY,BEAUFORT,SC,29901,BEAUFORT
TECHNICAL COLLEGE OF THE LOWCOUNTRY - NEW RIVER CAMPUS,OKATIE,SC,29909,BEAUFORT
TECHNICAL EDUCATION CENTER-OSCEOLA,KISSIMMEE,FL,34744,OSCEOLA
TEMPLE COLLEGE,TEMPLE,TX,76504,BELL
Temple,PHILADELPHIA,PA,19122,PHILADELPHIA
TEMPLE UNIVERSITY - AMBLER CAMPUS,AMBLER,PA,19002,MONTGOMERY
TEMPLE UNIVERSITY - CENTER CITY CAMPUS,PHILADELPHIA,PA,19102,PHILADELPHIA
TEMPLE UNIVERSITY - FORT WASHINGTON CAMPUS,FORT WASHINGTON,PA,19034,MONTGOMERY
TEMPLE UNIVERSITY - HARRISBURG CAMPUS,HARRISBURG,PA,17101,DAUPHIN
TEMPLE UNIVERSITY - HEALTH SCIENCES CTR,PHILADELPHIA,PA,19140,PHILADELPHIA
TEMPLE UNIVERSITY - SCHOOL OF PODIATRIC MEDICINE,PHILADELPHIA,PA,19107,PHILADELPHIA
TENNESSEE ACADEMY OF COSMETOLOGY-SHELBY DRIVE,MEMPHIS,TN,38125,SHELBY
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY NASHVILLE,NASHVILLE,TN,37209,DAVIDSON
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY PULASKI - LAWRENCEBURG INSTRUCTIONAL SERVICE CENTER LAWRENCE COUNTY HIGH SCHOOL,LAWRENCEBURG,TN,38464,LAWRENCE
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY PULASKI - NORTH LAWRENCE INSTRUCTIONAL SERVICE CENTER SUMMERTOWN HIGH SCHOOL,SUMMERTOWN,TN,38483,LAWRENCE
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY PULASKI - NORTHFIELD INSTUCTIONAL SERVICE CENTER,SPRING HILL,TN,37174,MAURY
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY PULASKI - SOUTH LAWRENCE INSTRUCTIONAL SERVICE CENTER LORETTO HIGH SCHOOL,LORETTO,TN,38469,LAWRENCE
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-DICKSON,DICKSON,TN,37055,DICKSON
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-ELIZABETHTON,ELIZABETHTON,TN,37643,CARTER
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-HARTSVILLE,HARTSVILLE,TN,37074,TROUSDALE
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-KNOXVILLE,KNOXVILLE,TN,37919,KNOX
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-LIVINGSTON,LIVINGSTON,TN,38570,OVERTON
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-MEMPHIS,MEMPHIS,TN,38105,SHELBY
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-MORRISTOWN,MORRISTOWN,TN,37813,HAMBLEN
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-PULASKI,PULASKI,TN,38478,GILES
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-SHELBYVILLE,SHELBYVILLE,TN,37160,BEDFORD
Tennessee State,NASHVILLE,TN,37209,DAVIDSON
TENNESSEE TECHNOLOGICAL UNIVERSITY,COOKEVILLE,TN,38505,PUTNAM
TENNESSEE TECHNOLOGY CENTER AT HARTSVILLE - MACON COUNTY,RED BOILING SPRINGS,TN,37150,MACON
TENNESSEE TECHNOLOGY CENTER AT HARTSVILLE - SUMNER COUNTY,GALLATIN,TN,37066,SUMNER
TENNESSEE TECHNOLOGY CENTER AT HARTSVILLE - WILSON COUNTY,LEBANON,TN,37087,WILSON
TENNESSEE WESLEYAN UNIVERSITY,ATHENS,TN,37303,MCMINN
TERRA STATE COMMUNITY COLLEGE,FREMONT,OH,43420,SANDUSKY
TEXARKANA COLLEGE,TEXARKANA,TX,75599,BOWIE
TEXARKANA COLLEGE - ON MAIN CAMPUS,ATLANTA,TX,75551,CASS
TEXARKANA COLLEGE - TEXAMERICAS CENTER,NEW BOSTON,TX,75570,BOWIE
TEXAS A & M INTERNATIONAL UNIVERSITY,LAREDO,TX,78041,WEBB
TEXAS A & M UNIVERSITY-CENTRAL TEXAS,KILLEEN,TX,76549,BELL
TEXAS A & M UNIVERSITY-COLLEGE STATION,COLLEGE STATION,TX,77843,BRAZOS
TEXAS A & M UNIVERSITY-COMMERCE,COMMERCE,TX,75429,HUNT
TEXAS A & M UNIVERSITY-COMMERCE - COLLIN HIGHER EDUCATION CENTER,MCKINNEY,TX,75069,COLLIN
TEXAS A & M UNIVERSITY-COMMERCE - MESQUITE METROPLEX,MESQUITE,TX,75150,DALLAS
TEXAS A & M UNIVERSITY-COMMERCE - ROCKWALL CAMPUS,ROCKWALL,TX,75032,ROCKWALL
TEXAS A & M UNIVERSITY-COMMERCE - UNIVERSITY CENTER AT DALLAS,DALLAS,TX,75201,DALLAS
TEXAS A & M UNIVERSITY-CORPUS CHRISTI,CORPUS CHRISTI,TX,78412,NUECES
TEXAS A & M UNIVERSITY-CORPUS CHRISTI - AGRILIFE RESEARCH AND EXTENSION CTR,CORPUS CHRISTI,TX,78406,BEE
TEXAS A & M UNIVERSITY-KINGSVILLE,KINGSVILLE,TX,78363,KLEBERG
TEXAS A & M UNIVERSITY-SYSTEM OFFICE,COLLEGE STATION,TX,77840,BRAZOS
TEXAS A&M UNIVERSITY-SAN ANTONIO,SAN ANTONIO,TX,78224,BEXAR
TEXAS A&M UNIVERSITY-TEXARKANA,TEXARKANA,TX,75503,BOWIE
TEXAS BARBER COLLEGE,HOUSTON,TX,77063,HARRIS
TEXAS CHRISTIAN UNIVERSITY,FORT WORTH,TX,76129,TARRANT
TEXAS COLLEGE,TYLER,TX,75702,SMITH
TEXAS COLLEGE OF COSMETOLOGY-SAN ANGELO,SAN ANGELO,TX,76904,TOM GREEN
TEXAS HEALTH SCIENCE CENTER AT TYLER,TYLER,TX,75708,SMITH
TEXAS LUTHERAN UNIVERSITY,SEGUIN,TX,78155,GUADALUPE
TEXAS SOUTHERN UNIVERSITY,HOUSTON,TX,77004,HARRIS
TEXAS SOUTHMOST COLLEGE,BROWNSVILLE,TX,78520,CAMERON
TEXAS SOUTHWESTERN MEDICAL CENTER,DALLAS,TX,75390,DALLAS
TEXAS STATE TECHNICAL COLLEGE,WACO,TX,76705,MCLENNAN
TEXAS STATE UNIVERSITY,SAN MARCOS,TX,78666,HAYS
TEXAS STATE UNIVERSITY - ROUND ROCK CAMPUS,ROUND ROCK,TX,78665,WILLIAMSON
TEXAS TECH UNIVERSITY,LUBBOCK,TX,79409,LUBBOCK
TEXAS TECH UNIVERSITY - CENTER AT JUNCTION,JUNCTION,TX,76849,KIMBLE
TEXAS TECH UNIVERSITY - EL PASO CAMPUS,EL PASO,TX,79901,EL PASO
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TX,79430,LUBBOCK
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER -  ABILENE CAMPUS,ABILENE,TX,79601,TAYLOR
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER -  AMARILLO CAMPUS,AMARILLO,TX,79106,POTTER
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER -  DALLAS SOUTHWEST CAMPUS,DALLAS,TX,75235,DALLAS
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER -  DALLAS VA CAMPUS,DALLAS,TX,75216,DALLAS
