fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Lynn,Greer,Temple,2007,175,74,Philadelphia,Pennsylvania,41,4.1,0.7,1.3,43.3,34.6,84.4,49.6,14,0.7
Lavoy,Allen,Temple,2012,260,81,Morrisville,Pennsylvania,388,4.8,4.8,1,47.1,13.3,68.2,47.2,12.5,13.8
Dionte,Christmas,Temple,2013,205,77,Philadelphia,Pennsylvania,31,2.3,1.2,0.3,35.5,29,75,42.7,11.1,0.3
Ben,Warley,Tennessee State,1967,200,77,Washgton,District of Columbia,436,8.5,5.6,0.8,41.8,28.4,75.1,43.4,14,16.4
Eddie,Johnson,Tennessee State,1968,205,80,Atlanta,Georgia,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14,8.5
John,Barnhill,Tennessee State,1969,180,73,Sturgis,Kentucky,589,8.6,2.5,2.9,40.6,23.6,65.8,41.6,10.7,12.7
Dwight,Waller,Tennessee State,1969,220,78,Brownsville,Tennessee,20,2,2.7,0.3,37.8,0,46.2,37.8,7.1,0.1
Ted,McClain,Tennessee State,1971,180,73,Nashville,Tennessee,555,8.4,2.9,3.4,44.9,21.8,76.7,45.3,12.5,21.2
Truck,Robinson,Tennessee State,1974,225,79,Jacksonville,Florida,772,15.5,9.4,1.7,48.3,100,66.2,48.3,14.9,52.7
Monti,Davis,Tennessee State,1980,205,79,Warren,Ohio,2,1.5,2,0,20,-,20,20,4.5,-0.1
Anthony,Mason,Tennessee State,1990,250,79,Miami,Florida,882,10.9,8.3,3.4,50.9,16.7,70.9,51,14.6,88.3
Carlos,Rogers,Tennessee State,1994,220,83,Detroit,Michigan,298,7.4,4.3,0.6,53.6,25.8,56.2,54.5,15.4,11.1
Tahjere,McCall,Tennessee State,2019,195,77,Philadelphia,Pennsylvania,1,4,1,0,66.7,0,0,66.7,9.6,0
Milos,Babic,Tennessee Technological University,1990,240,84,Kraljevo,Serbia,21,1.8,1,0.5,37.5,-,65,37.5,10.9,-0.1
Kevin,Murphy,Tennessee Technological University,2012,185,77,Atlanta,Georgia,17,0.9,0.2,0.1,25,20,-,26.8,-4.5,-0.3
Bob,Hogsett,Tennessee,1967,230,79,</span,],20,1.9,1.3,0.1,33.3,-,56.5,33.3,5.3,0
Bernard,King,Tennessee,1977,205,79,Brooklyn,New York,874,22.5,5.8,3.3,51.8,17.2,73,51.9,19.2,75.4
Ernie,Grunfeld,Tennessee,1977,210,78,Satu-Mare,Romania,693,7.4,2.6,2,47.7,33.7,77,48.1,12.7,25
Terry,Crosby,Tennessee,1979,195,76,Toledo,Ohio,4,1.5,0.3,1.8,50,-,100,50,3.5,0
Reggie,Johnson,Tennessee,1980,205,81,Atlanta,Georgia,305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11
Howard,Wood,Tennessee,1981,235,79,Southhampton,New York,42,3.4,1.5,0.2,45.8,0,65.4,45.8,12,0.3
Dale,Ellis,Tennessee,1983,205,79,Marietta,Georgia,1209,15.7,3.5,1.4,47.9,40.3,78.4,53.6,16,84.7
Tony,White,Tennessee,1987,170,74,Charlotte,North Carolina,49,5.3,0.6,1.2,44.6,0,72.2,44.6,9.4,-0.3
Dyron,Nix,Tennessee,1989,210,79,Meridian,Mississippi,20,2,1.3,0.3,35.9,-,68.8,35.9,8.2,0
Doug,Roth,Tennessee,1989,255,83,Knoxville,Tennessee,42,1.9,2.9,0.5,43,0,50,43,8.2,0.4
Ian,Lockhart,Tennessee,1990,240,80,Nassau,Bahamas,1,4,0,0,100,-,100,100,76.3,0
Allan,Houston,Tennessee,1993,200,78,Louisville,Kentucky,839,17.3,2.9,2.4,44.4,40.2,86.3,49.8,14.9,55.3
Steve,Hamer,Tennessee,1997,245,,Memphis,Tennessee,35,2.2,1.7,0.2,52.6,0,55.2,52.6,8.9,0.2
Vincent,Yarbrough,Tennessee,2002,210,79,Cleveland,Tennessee,59,6.9,2.7,2.2,39.3,26.9,79,41.7,9.5,1
Marcus,Haislip,Tennessee,2002,230,82,Lewisburg,Tennessee,89,3.5,1.5,0.2,43.7,35,65.9,44.9,10.8,0.5
Scotty,Hopson,Tennessee,2014,204,79,Hopksville,Kentucky,3,0.7,0,0.7,0,0,50,0,-5.5,-0.1
Jarnell,Stokes,Tennessee,2014,263,81,Memphis,Tennessee,28,2.4,1.4,0.3,58.1,-,53.1,58.1,19.4,0.6
Sonny,Parker,Texas A&amp;M,1976,200,78,Chicago,Illinois,452,9.9,4.1,2.1,50.1,0,75.5,50.1,15.6,26.9
David,Britton,Texas A&amp;M,1980,180,76,New York,New York,2,2,1,1.5,66.7,-,-,66.7,18,0
Winston,Crite,Texas A&amp;M,1987,233,79,Bakersfield,California,31,2.8,2.1,0.5,47.9,-,76,47.9,9.1,0.1
Antoine,Wright,Texas A&amp;M,2005,210,79,West Cova,California,297,5.4,2.3,1,41.2,30.4,67.4,46.3,7.9,3.1
Acie,Law,Texas A&amp;M,2007,195,75,Dallas,Texas,188,3.9,1,1.6,41.3,23.5,77.8,43.4,9.9,1.6
Donald,Sloan,Texas A&amp;M,2012,205,75,Shreveport,Louisiana,218,5.5,2.1,3,40.9,31,75.4,45.4,11.9,4
Tyler,Davis,Texas A&amp;M,2018,266,82,San Jose,California,1,0,1,0,0,-,-,0,0,0
Alex,Bradley,Texas Southern,1977,190,78,Utica,Mississippi,99,4.4,1.5,0.7,41.8,100,70.3,41.9,8.6,-0.2
Ron,Cavenall,Texas Southern,1984,230,85,Beaumont,Texas,58,1.4,2.9,0.3,33.7,-,54.5,33.7,4.2,-0.2
Torgeir,Bryn,Texas State University,1989,250,81,Oslo,Norway,3,1.3,0.7,0,0,-,66.7,0,9.1,0
Jeff,Foster,Texas State University,1999,236,83,San Antonio,Texas,764,4.9,6.9,0.9,49.7,13,61.5,49.8,14.2,47.5
Geoff,Huston,Texas Tech,1979,175,74,Brooklyn,New York,496,8.8,1.4,5.1,48.3,25.4,70.8,48.5,12.7,11.9
Jeff,Taylor,Texas Tech,1982,175,76,Blytheville,Arkansas,56,3.2,1.5,2,41.2,0,69.6,41.2,8.1,-0.1
Darvin,Ham,Texas Tech,1996,220,79,Sagaw,Michigan,417,2.7,2.3,0.5,51.8,25,49.4,52,9,5.6
Jason,Sasser,Texas Tech,1997,225,79,Denton,Texas,14,2.1,1.1,0.3,41.2,33.3,50,42.6,7.6,0
Tony,Battie,Texas Tech,1997,230,83,Dallas,Texas,837,6.1,5.1,0.6,48.8,16.2,69,49,12.6,36.4
Cory,Carr,Texas Tech,1999,210,75,Fordyce,Arkansas,42,4.1,1.2,1.6,32.9,16.7,75,34,5.1,-1.2
Andre,Emmett,Texas Tech,2005,230,77,Dallas,Texas,14,1.4,0.6,0.1,46.2,0,61.5,46.2,8.5,0.1
Kasib,Powell,Texas Tech,2008,215,79,Teaneck,New Jersey,11,7.6,4,1.6,36.8,24.2,66.7,41.1,9,0
Johnny,Moore,Texas,1980,175,73,Altoona,Pennsylvania,520,9.4,3,7.4,46,25.1,71.2,47.1,16.7,30.1
LaSalle,Thompson,Texas,1982,245,82,Ccnati,Ohio,985,7.9,6.8,1.2,49.2,15.4,73.7,49.2,13.6,35
Travis,Mays,Texas,1990,190,74,Ocala,Florida,115,11.1,2,2.8,41,36.2,74.9,45.9,11.7,2.4
Lance,Blanks,Texas,1990,190,76,Del Rio,Texas,142,2,0.8,0.8,43.6,25.3,66.7,47.2,8.8,0.7
Dexter,Cambridge,Texas,1993,224,79,Eleuthra,Bahamas,53,7,3.2,1.1,48.4,0,68.7,48.4,12.1,0.4
Terrence,Rencher,Texas,1995,185,75,Bronx,New York,36,2.9,1.2,1.5,33,31,67.4,37.5,6.5,-0.2
Alvin,Heggs,Texas,1995,225,80,Jacksonville,Florida,4,2,0.5,0,60,-,66.7,60,20.7,0.1
Chris,Mihm,Texas,2000,265,,Milwaukee,Wisconsin,436,7.5,5.3,0.5,45.9,23.1,70.4,45.9,13.4,13.3
Maurice,Evans,Texas,2001,220,77,Wichita,Kansas,562,6.7,2.5,0.7,44.2,36.3,78.5,50.8,11.9,21.7
Chris,Owens,Texas,2003,245,79,Akron,Ohio,1,4,1,0,66.7,-,-,66.7,20.1,0
Royal,Ivey,Texas,2004,200,75,Harlem,New York,492,3.3,1.1,1,40.6,36.1,70.6,45.9,8.4,4.5
Daniel,Gibson,Texas,2006,190,74,Houston,Texas,397,7.8,2,2,40.2,40.7,78,51.2,10.8,16
Kevin,Durant,Texas,2007,240,82,Washgton,District of Columbia,849,27,7.1,4.1,49.3,38.1,88.3,54.2,25.2,141.7
Damion,James,Texas,2010,225,79,Hobbs,New Mexico,39,3.8,3.4,0.7,41.5,0,66.7,41.5,8.5,0
Dexter,Pittman,Texas,2011,308,83,Rosenberg,Texas,50,2.3,1.8,0.2,45,-,54.5,45,9.1,0.5
Isaiah,Taylor,Texas,2017,170,75,Hayward,California,71,6.3,1.4,2.9,41.3,24.4,69.9,43.8,10.4,0.6
Dave,Lattin,Texas-El Paso,1970,225,78,Houston,Texas,263,7.2,5.1,0.7,47.7,0,63.1,47.7,13.6,6.3
Scott,English,Texas-El Paso,1973,205,78,Evanston,Illinois,105,5.6,4,1,41.4,10,77,41.4,11.9,0.9
Gus,Bailey,Texas-El Paso,1974,185,77,Gibson,North Carolina,147,2.6,1.7,1.1,40.6,100,51,40.8,11.3,0.8
Dave,Feitl,Texas-El Paso,1986,235,83,Butler,Pennsylvania,275,4.3,3,0.5,43.3,0,75.1,43.3,9.8,1.4
Tim,Hardaway,Texas-El Paso,1989,175,,Chicago,Illinois,867,17.7,3.3,8.2,43.1,35.5,78.2,49,18.6,85
Greg,Foster,Texas-El Paso,1990,240,83,Oakland,California,656,3.9,2.6,0.5,44,22.5,74.8,44.4,8.9,5.6
Marlon,Maxey,Texas-El Paso,1992,250,80,Chicago,Illinois,98,4.9,3.7,0.2,54.2,0,68.5,54.2,15.6,2.6
Antonio,Davis,Texas-El Paso,1993,215,81,Oakland,California,,,,,,,,,,
Anthony,Davis,Texas-El Paso,1993,215,81,Oakland,California,903,10,7.5,1.1,44.8,8.7,72.7,44.8,14.1,59.6
Derrick,Caracter,Texas-El Paso,2010,275,81,Fanwood,New Jersey,41,2,1,0.2,48.5,-,73.9,48.5,10,0.3
Julyan,Stone,Texas-El Paso,2012,200,78,Alexandria,Virginia,70,1.1,1.1,1.1,44.4,31.3,70,52.4,9.5,0.9
Vincent,Hunter,Texas-El Paso,2017,208,80,Detroit,Michigan,4,1.5,0.8,0,60,-,-,60,35.8,0
Julian,Washburn,Texas-El Paso,2019,210,80,Duncanville,Texas,18,2.2,2.3,0.8,33.3,20.8,75,38.5,6.5,0.1
Derrick,Gervin,Texas-San Antonio,1990,200,80,Detroit,Michigan,77,8.8,2.3,0.5,43.5,22.6,76.4,44.1,16.3,2.1
Larry,Jones,Toledo,1967,180,74,Columbus,Ohio,551,19.1,4.9,3.7,45.3,27.7,79.3,46.3,18.9,56.4
John,Brisker,Toledo,1969,210,77,Detroit,Michigan,331,20.7,6.5,2.4,45.3,32.1,83.4,46.7,20.1,22.1
Steve,Mix,Toledo,1971,215,79,Toledo,Ohio,788,10.6,5.3,1.8,49.9,28.6,80.3,49.9,16.2,57.6
Dick,Miller,Toledo,1980,215,78,Milwaukee,Wisconsin,8,1,0.9,0.6,44.4,0,-,44.4,3.3,-0.1
Casey,Shaw,Toledo,1999,260,83,Lebanon,Ohio,9,0.2,0.3,0,12.5,-,-,12.5,-14.9,-0.1
Kurk,Lee,Towson University,1990,190,75,Baltimore,Maryland,48,1.4,0.6,0.7,26.8,20,89.3,28.9,5.6,-0.1
Gary,Neal,Towson University,2010,210,76,Baltimore,Maryland,352,9.9,2.2,1.6,42.2,38.2,85,49.8,12.6,10.7
Jerrelle,Benimon,Towson University,2015,245,80,Warrenton,Virginia,2,0,1.5,0,-,-,-,-,4.7,0
Greg,Grant,Trenton State University,1989,140,67,Trenton,New Jersey,274,2.8,0.9,2.7,38.3,28.1,71,40.8,9.9,1.6
Shawn,Kemp,Trinity Valley CC,1989,230,82,Elkhart,Indiana,1051,14.6,8.4,1.6,48.8,27.7,74.1,49,19.1,89.5
Paul,Thompson,Tulane,1983,210,78,Smyrna,Tennessee,154,8.9,3.5,1.5,43.2,21,79.2,43.8,13.7,4.9
Hot Rod,Williams,Tulane,1986,215,83,Sorrento,Louisiana,887,11,6.8,1.8,48,10.5,72.6,48,15.6,70.5
Jerald,Honeycutt,Tulane,1997,245,81,Shreveport,Louisiana,54,5.1,1.9,0.7,39.1,36.2,63.2,45.8,10.6,0.3
Linton,Johnson,Tulane,2003,205,80,Chicago,Illinois,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6
Paul,Pressey,Tulsa,1982,185,77,Richmond,Virginia,724,10.6,3.9,5.1,48.5,22.2,74.9,49.1,15.5,49
Steve,Harris,Tulsa,1985,195,77,Kansas City,Missouri,207,7,1.8,1.1,43.4,5,84.2,43.5,13.3,3.1
Tracy,Moore,Tulsa,1992,200,76,Oklahoma City,Oklahoma,119,7,1.5,1,40.4,34.4,83.8,45.6,12.7,1.8
Shea,Seals,Tulsa,1998,210,77,Tulsa,Oklahoma,4,1,1,0,12.5,0,50,12.5,4.9,-0.1
Michael,Ruffin,Tulsa,1999,246,81,Denver,Colorado,414,1.7,3.9,0.6,40.7,0,45.9,40.7,8.5,6.8
Ben,Uzoh,Tulsa,2010,205,75,Houston,Texas,60,4,2.1,2.2,39.5,33.3,58.7,40.1,13,0.7
Jerome,Jordan,Tulsa,2011,253,,Kgston,Jamaica,65,2.8,2,0.3,52.8,-,85.2,52.8,17.1,1.7
Carl,Bailey,Tuskegee University,1982,210,,Birmgham,Alabama,1,2,0,0,100,-,-,100,-6.8,0
Don,Ford,UC Santa Barbara,1975,215,81,Santa Barbara,California,474,6.4,3.6,1.4,46.4,14.3,77.3,46.4,10.8,12.7
Richard,Anderson,UC Santa Barbara,1982,240,82,San Pedro,California,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6
Conner,Henry,UC Santa Barbara,1986,195,79,Claremont,California,93,3.3,0.9,1.1,37.8,37.9,75.7,43.5,9.7,0.1
Brian,Shaw,UC Santa Barbara,1988,190,78,Oakland,California,943,6.9,3.4,4.2,40.3,30.4,78.2,43.7,11.7,23.8
Orlando,Johnson,UC Santa Barbara,2012,220,77,Monterey,California,103,3.2,1.7,0.7,35.8,31.1,72.7,43,8.5,1.4
James,Nunnally,UC Santa Barbara,2014,208,79,San Jose,California,28,2.9,0.9,0.5,33.8,32,76.9,43.8,6.6,0
Kareem,Abdul-Jabbar,UCLA,1969,225,86,New York,New York,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Sidney,Wicks,UCLA,1971,225,80,Los Angeles,California,760,16.8,8.7,3.2,45.9,0,68.5,45.9,16.2,42.4
Henry,Bibby,UCLA,1972,185,73,Franklton,North Carolina,675,8.6,2.3,3.3,42.4,29.3,78.2,42.8,12.3,24.5
Swen,Nater,UCLA,1973,240,83,Den Helder,Netherlands,722,12.4,11.6,1.7,53.5,10,74.8,53.5,17.6,58.5
Greg,Lee,UCLA,1974,190,75,Reseda,California,10,2.4,0.5,2.4,52.6,-,100,52.6,11.9,0.1
Jamaal,Wilkes,UCLA,1974,190,78,Berkeley,California,828,17.7,6.2,2.5,49.9,13.5,75.9,50,16.5,71.3
Bill,Walton,UCLA,1974,210,83,La Mesa,California,468,13.3,10.5,3.4,52.1,0,66,52.1,20,39.3
Dave,Meyers,UCLA,1975,215,80,San Diego,California,281,11.2,6.3,2.3,46.1,20,67.6,46.1,14.1,13.4
Andre,McCarter,UCLA,1976,190,75,Philadelphia,Pennsylvania,103,3.8,0.9,1.7,43.1,25,72.5,43.4,10.4,1.1
Richard,Washington,UCLA,1976,220,83,Portland,Oregon,351,9.8,6.3,1.2,45.3,25,71.1,45.3,13.3,10.8
Magic,Johnson,UCLA,1977,218,79,Natchitoches,Louisiana,691,20.1,7,3.6,51.8,15.2,73.9,51.9,20.1,79.8
Raymond,Townsend,UCLA,1978,175,75,San Jose,California,154,4.8,1,1.4,41.1,17.1,70.3,41.5,9.8,1
Roylee,Hamilton,UCLA,1979,180,74,Los Angeles,California,73,4.6,1.5,2.6,40,0,68.4,40,9.1,-0.4
Brad,Holland,UCLA,1979,180,75,Billgs,Montana,93,3.2,0.6,0.7,40.3,19,74.6,41,10.2,0.4
Danny,Green,UCLA,1979,222,81,Lynwood,California,823,10.2,7.9,2,47.7,13.8,76.5,47.8,13.6,46.4
Kiki,Vandeweghe,UCLA,1980,220,80,Wiesbaden,Germany,810,19.7,3.4,2.1,52.5,36.8,87.2,53.4,18.4,75.6
Darrell,Allums,UCLA,1980,220,81,Los Angeles,California,22,2.7,3,1.1,34.3,0,59.1,34.3,5.3,-0.3
Ralph,Drollinger,UCLA,1980,250,86,La Mesa,California,6,2.5,3.2,2.3,50,-,25,50,5.3,-0.2
Mark,Eaton,UCLA,1982,275,88,Westmster,California,875,6,7.9,1,45.8,0,64.9,45.8,10.9,44.8
Rod,Foster,UCLA,1983,160,73,Birmgham,Alabama,207,7.5,1.2,2.3,44,29.8,76.8,46.5,10.9,2.2
Mike,Sanders,UCLA,1983,210,78,Vidalia,Louisiana,648,8,3,1.4,48.2,22.1,76.9,48.4,11.9,17.9
Darren,Daye,UCLA,1983,220,80,Des Moes,Iowa,328,6.8,2.6,2,49.1,11.8,68.1,49.1,13.9,9.3
Michael,Holton,UCLA,1984,185,76,Seattle,Washington,325,6.2,1.4,3,44.1,25.7,80.7,44.9,10.5,4.8
Ralph,Jackson,UCLA,1984,190,74,Los Angeles,California,1,2,1,4,33.3,-,-,33.3,15.6,0
Kenny,Fields,UCLA,1984,220,77,Iowa City,Iowa,184,6.2,2.5,1,47.4,18.8,73.3,47.5,11.7,4.2
Stuart,Gray,UCLA,1984,235,,Panama Canal Zone,Panama,386,2.3,2.6,0.4,44.6,0,66.3,44.6,8.6,3.3
Reggie,Miller,UCLA,1987,185,79,Riverside,California,1389,18.2,3,3,47.1,39.5,88.8,54.4,18.4,174.4
Bracey,Wright,UCLA,1987,225,83,Hollywood,California,16,3.4,3.4,0.1,41.2,0,42.9,41.2,9.5,-0.1
Jack,Haley,UCLA,1988,240,82,Long Beach,California,341,3.5,2.7,0.2,42.5,0,65.5,42.5,9.7,2.9
Pooh,Richardson,UCLA,1989,180,73,Philadelphia,Pennsylvania,639,11.1,2.8,6.5,44.4,32.9,65.2,47,14.9,26.7
Trevor,Wilson,UCLA,1990,210,79,Los Angeles,California,103,5.7,3.4,1,45.6,0,56.7,45.6,11.3,0.8
Keith,Owens,UCLA,1991,225,79,San Francisco,California,20,1.3,0.8,0.2,28.1,-,80,28.1,10.3,0
Tracy,Murray,UCLA,1992,225,79,Los Angeles,California,659,9,2.5,0.8,43,38.8,82.9,50.4,14.6,24.1
Don,MacLean,UCLA,1992,235,82,Palo Alto,California,319,10.9,3.8,1.3,45.5,28.4,76.5,46.5,15.1,9.4
Gerald,Madkins,UCLA,1993,200,76,Merced,California,48,1.7,0.5,1.4,36.6,37.5,76.2,45.1,8.7,0.3
Richard,Petruska,UCLA,1993,260,82,Levice,Slovakia,22,2.4,1.4,0,43.5,46.7,75,51.1,12.3,0
Tyus,Edney,UCLA,1995,152,70,Gardena,California,226,7.6,1.7,4,40.5,32.2,80.6,42.8,13.6,6.8
Darrick,Martin,UCLA,1995,170,71,Denver,Colorado,514,6.9,1.1,2.9,38.2,34,84.3,43.8,12.5,9.6
George,Zidek,UCLA,1995,250,,Zl,Czech Republic,135,3.4,2.1,0.2,40.8,25,78.3,40.9,8.7,0.8
Baron,Davis,UCLA,1999,209,75,Los Angeles,California,835,16.1,3.8,7.2,40.9,32,71.1,46.5,17.8,63.1
Toby,Bailey,UCLA,1999,213,78,Los Angeles,California,73,3.3,1.7,0.6,40.7,20,69.2,41.4,11,1
Jelani,McCoy,UCLA,1999,245,82,Oakland,California,260,4.6,3.5,0.5,53.9,-,49,53.9,12.6,5.1
Jerome,Moiso,UCLA,2000,235,82,Paris,France,145,2.7,2.7,0.3,48.9,0,59.3,48.9,12.1,2.1
Earl,Watson,UCLA,2001,195,73,Kansas City,Kansas,878,6.4,2.3,4.4,41.1,32.4,70.3,46,12.1,19.2
Dan,Gadzuric,UCLA,2002,240,83,Den Haag,Netherlands,527,4.7,4.4,0.4,50,0,49.8,50,14.4,15.8
Jason,Kapono,UCLA,2003,213,80,Long Beach,California,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
Dijon,Thompson,UCLA,2005,195,79,Los Angeles,California,16,2.8,1.2,0.2,42.5,30.8,87.5,47.5,16.4,0.2
Jordan,Farmar,UCLA,2006,180,74,Los Angeles,California,504,7.7,1.9,2.9,42.3,37.4,73.9,50.7,13.3,13.9
Cedric,Bozeman,UCLA,2006,207,78,Los Angeles,California,23,1.1,1,0.4,28.2,15.4,33.3,30.8,-0.1,-0.3
Arron,Afflalo,UCLA,2007,210,77,Los Angeles,California,762,10.8,2.9,1.8,45,38.6,82.5,51.4,11.9,33.5
Ryan,Hollins,UCLA,2007,240,,Pasadena,California,518,3.7,2.2,0.3,58.4,0,64.9,58.4,11,10.4
Darren,Collison,UCLA,2009,175,,Rancho Cucamonga,California,708,12.5,2.7,5,47.1,39.4,85.3,51.7,16.2,49.9
Tyler,Honeycutt,UCLA,2011,188,80,Los Angeles,California,24,1.2,1,0.4,31.4,20,71.4,32.9,8.1,-0.1
Malcolm,Lee,UCLA,2012,200,77,Riverside,California,36,3.9,1.8,1.4,38.2,29.4,70.3,41.9,9.5,0.4
Shabazz,Muhammad,UCLA,2013,223,78,Los Angeles,California,278,9,2.8,0.5,47.3,31.9,75.1,50.4,15.9,8.5
Jordan,Adams,UCLA,2014,209,77,Atlanta,Georgia,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
Travis,Wear,UCLA,2014,230,82,Long Beach,California,68,4,2.1,0.7,38.8,36.4,82.4,43.8,8.1,-0.1
David,Wear,UCLA,2015,230,82,Long Beach,California,2,0,1,0.5,0,0,-,0,2.4,0
Ike,Anigbogu,UCLA,2017,250,82,San Diego,California,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17,0
Thomas,Welsh,UCLA,2018,255,,Torrance,California,11,1.6,0.4,0.5,53.8,42.9,50,65.4,16.1,0.1
Corny,Thompson,UConn,1982,225,80,Middletown,Connecticut,44,2.8,2.7,0.8,31.4,-,78.3,31.4,6,-0.1
Bruce,Kuczenski,UConn,1983,230,82,Bristol,Connecticut,15,1.9,1.5,0.5,27,-,66.7,27,-0.5,-0.4
Chuck,Aleksinas,UConn,1984,260,83,Litchfield,Connecticut,74,5.1,3.6,0.5,47.8,0,73.3,47.8,9.1,0.4
Tate,George,UConn,1990,190,77,Newark,New Jersey,177,4.2,1,1.8,41.4,7.1,82,41.5,10.7,1.3
Scott,Burrell,UConn,1993,218,79,New Haven,Connecticut,383,6.9,3.5,1.4,41.8,37.3,72.3,49.1,13.5,16.4
Donny,Marshall,UConn,1994,218,81,Readg,Pennsylvania,957,11.2,6.7,1.4,43.5,35,73.1,48.3,16.8,59
Travis,Knight,UConn,1996,235,,Salt Lake City,Utah,371,3.4,3.1,0.6,43.8,25.9,69.6,44.4,11.4,7.9
Kevin,Ollie,UConn,1997,195,76,Dallas,Texas,662,3.8,1.5,2.3,41,31,79.2,41.2,10.9,14.5
Richard,Hamilton,UConn,1999,185,78,Coatesville,Pennsylvania,921,17.1,3.1,3.4,44.9,34.6,85.2,46.9,16.5,62.8
Jake,Voskuhl,UConn,2000,245,83,Tulsa,Oklahoma,450,4,3.4,0.5,48.7,33.3,71.4,48.8,10.8,11.6
Caron,Butler,UConn,2002,228,79,Race,Wisconsin,881,14.1,5,2.3,43.4,34.8,84.7,46.9,15,50.9
Ben,Gordon,UConn,2004,200,75,London,United Kingdom,744,14.9,2.5,2.5,43.2,40.1,85.7,49.7,14.9,33.3
Emeka,Okafor,UConn,2004,252,82,Houston,Texas,616,12,9.7,0.8,51.2,0,58.6,51.2,17,45.3
Charlie,Villanueva,UConn,2005,232,83,Queens,New York,656,10.4,4.6,0.8,43.5,34.1,77.2,49.4,16,22.6
Hilton,Armstrong,UConn,2006,235,83,Peekskill,New York,292,3,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9
Josh,Boone,UConn,2006,237,82,Mount Airy,Maryland,256,5.2,4.9,0.5,54.4,-,44.5,54.4,14.2,9.1
AJ,Price,UConn,2009,181,74,Orange,New Jersey,261,5.8,1.4,2.2,38,31.6,74.2,45.6,12.2,4.7
Hasheem,Thabeet,UConn,2009,263,87,Dar es Salaam,United Republic of Tanzania,224,2.2,2.7,0.1,56.7,-,57.8,56.7,10.3,4.8
Jeff,Adrien,UConn,2010,245,79,Brookle,Massachusetts,153,4.6,4.3,0.7,47.4,0,62.8,47.4,15,4.4
Jerome,Dyson,UConn,2012,180,75,Rockville,Maryland,9,7.4,2.1,2,39.6,12.5,77.8,40.6,11.3,0.1
Rodney,Purvis,UConn,2018,205,76,Plymouth,North Carolina,16,6,1.7,1.1,32.7,25,86.7,38.8,4.5,-0.3
Julius,Erving,UMass,1971,210,79,Roosevelt,New York,1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1
Al,Skinner,UMass,1974,190,75,Mount Vernon,New York,337,9.1,3.3,2.8,45.2,27.3,81.3,45.2,13.8,13.2
Lou,Roe,UMass,1995,220,79,Atlantic City,New Jersey,66,2,1.4,0.3,33.3,25,64.7,35.1,7.7,0
Marcus,Camby,UMass,1996,220,83,Hartford,Connecticut,973,9.5,9.8,1.9,46.6,20.5,67,46.8,17.8,81.6
Lari,Ketner,UMass,1999,277,81,Philadelphia,Pennsylvania,25,1.4,1.4,0.1,40.6,-,66.7,40.6,6.2,0
Stephane,Lasme,UMass,2007,215,80,Port-Gentil,Gabon,16,5.2,3.3,0.2,45.1,-,59.4,45.1,11.7,0.3
Gary,Forbes,UMass,2010,220,79,Colon,Panama,111,5.8,2,0.9,43.4,34,70.2,47.8,12.4,1.7
Cedric,Maxwell,UNC Charlotte,1977,205,80,Kston,North Carolina,835,12.5,6.3,2.2,54.6,5.3,78.4,54.6,16.4,78.5
Chad,Kinch,UNC Charlotte,1980,190,76,Perth Amboy,New Jersey,41,2.9,0.8,1.1,36.9,-,77.8,36.9,7,-0.5
Byron,Dinkins,UNC Charlotte,1989,170,73,Charlotte,North Carolina,45,3.4,1.2,2.1,40.6,11.1,87.2,40.9,9.1,0.3
Cedric,Ball,UNC Charlotte,1990,210,80,Worcester,Massachusetts,7,1.1,1.6,0,37.5,-,100,37.5,10.8,0
Sean,Colson,UNC Charlotte,2001,175,,Philadelphia,Pennsylvania,13,1.2,0.5,0.8,25,20,50,27.1,6.8,-0.1
Eddie,Basden,UNC Charlotte,2005,215,77,New York,New York,19,2.1,1.5,0.4,40.5,14.3,80,41.9,10.3,0.2
Brian,Rowsom,UNC Wilmington,1987,220,81,Newark,New Jersey,82,5.6,3.3,0.6,45.5,66.7,81.8,45.8,14.5,2.4
Matt,Fish,UNC Wilmington,1994,235,83,Washgton,Iowa,50,3.5,2.2,0.5,50,0,62.5,50,11.9,0.6
Charlie,Scott,UNC,1970,175,77,New York,New York,717,20.7,4,4.9,44.8,25.3,77.3,44.9,15.8,41.4
Bill,Chamberlain,UNC,1972,188,78,</span,],78,5.3,2.5,1.4,41,25,65.2,41.3,10.6,0.5
Billy,Cunningham,UNC,1972,210,78,Brooklyn,New York,770,21.2,10.4,4.3,45.2,26.3,73,45.2,20,78.6
